NODE,Position X,Position Y,CONNECT-TO
-2,-13327.4434,-4910.1963,
-1,-43110.4939,35651.2234,
1,-41103.5952,29060.2851,2
2,-41015.679,28045.9921,1
2,-41015.679,28045.9921,3
2,-41015.679,28045.9921,90
3,-40148.1914,27782.3296,2
3,-40148.1914,27782.3296,4
3,-40148.1914,27782.3296,11
3,-40148.1914,27782.3296,15
3,-40148.1914,27782.3296,90
4,-37878.9986,27190.3562,3
4,-37878.9986,27190.3562,5
4,-37878.9986,27190.3562,10
4,-37878.9986,27190.3562,11
5,-36841.2482,26986.6801,4
5,-36841.2482,26986.6801,6
5,-36841.2482,26986.6801,9
5,-36841.2482,26986.6801,10
5,-36841.2482,26986.6801,8
6,-35744.8537,26229.1098,5
6,-35744.8537,26229.1098,7
6,-35744.8537,26229.1098,10
6,-35744.8537,26229.1098,34
6,-35744.8537,26229.1098,32
7,-34849.0843,28261.58,8
7,-34849.0843,28261.58,34
7,-34849.0843,28261.58,6
7,-34849.0843,28261.58,5
8,-35427.602,30144.878,7
8,-35427.602,30144.878,9
8,-35427.602,30144.878,5
8,-35427.602,30144.878,150
9,-35763.5153,30648.334,5
9,-35763.5153,30648.334,146
9,-35763.5153,30648.334,150
9,-35763.5153,30648.334,8
10,-37237.8025,25707.0074,5
10,-37237.8025,25707.0074,6
10,-37237.8025,25707.0074,11
10,-37237.8025,25707.0074,12
11,-38058.9243,25557.8352,4
11,-38058.9243,25557.8352,10
11,-38058.9243,25557.8352,12
11,-38058.9243,25557.8352,91
12,-37453.4266,24854.0624,10
12,-37453.4266,24854.0624,11
12,-37453.4266,24854.0624,16
12,-37453.4266,24854.0624,91
14,-38912.138,23092.077,16
14,-38912.138,23092.077,91
15,-41190.0835,27297.2632,3
15,-41190.0835,27297.2632,90
15,-41190.0835,27297.2632,17
16,-36887.7906,23110.8055,14
16,-36887.7906,23110.8055,18
16,-36887.7906,23110.8055,31
16,-36887.7906,23110.8055,12
17,-40786.5336,23204.4483,15
17,-40786.5336,23204.4483,19
18,-36700.3512,22099.4642,16
18,-36700.3512,22099.4642,20
18,-36700.3512,22099.4642,19
18,-36700.3512,22099.4642,33
19,-41367.5961,21855.9932,17
19,-41367.5961,21855.9932,18
20,-36306.7282,21425.2366,18
20,-36306.7282,21425.2366,33
20,-36306.7282,21425.2366,36
22,-29146.5371,29422.3248,25
22,-29146.5371,29422.3248,95
22,-29146.5371,29422.3248,23
22,-29146.5371,29422.3248,24
23,-30777.2612,29890.5384,24
23,-30777.2612,29890.5384,152
23,-30777.2612,29890.5384,22
24,-31377.068,28560.8117,23
24,-31377.068,28560.8117,25
24,-31377.068,28560.8117,27
24,-31377.068,28560.8117,26
25,-29990.0152,27774.213,22
25,-29990.0152,27774.213,24
25,-29990.0152,27774.213,26
25,-29990.0152,27774.213,27
26,-30308.6623,27249.8138,25
26,-30308.6623,27249.8138,27
26,-30308.6623,27249.8138,35
26,-30308.6623,27249.8138,29
26,-30308.6623,27249.8138,24
27,-31639.4833,28017.6841,24
27,-31639.4833,28017.6841,26
27,-31639.4833,28017.6841,25
28,-31995.6185,25545.5163,29
28,-31995.6185,25545.5163,30
28,-31995.6185,25545.5163,70
28,-31995.6185,25545.5163,35
28,-31995.6185,25545.5163,32
29,-32295.5216,26669.2289,28
29,-32295.5216,26669.2289,35
29,-32295.5216,26669.2289,34
29,-32295.5216,26669.2289,32
30,-32201.802,24440.5322,28
30,-32201.802,24440.5322,92
30,-32201.802,24440.5322,70
30,-32201.802,24440.5322,69
31,-34526.0525,23373.0051,16
31,-34526.0525,23373.0051,32
31,-34526.0525,23373.0051,33
31,-34526.0525,23373.0051,71
31,-34526.0525,23373.0051,92
32,-34282.3808,25508.0591,31
32,-34282.3808,25508.0591,34
32,-34282.3808,25508.0591,28
32,-34282.3808,25508.0591,30
32,-34282.3808,25508.0591,92
32,-34282.3808,25508.0591,29
32,-34282.3808,25508.0591,6
33,-34338.613,21968.3643,20
33,-34338.613,21968.3643,31
33,-34338.613,21968.3643,71
33,-34338.613,21968.3643,18
34,-33795.038,27437.0992,7
34,-33795.038,27437.0992,32
34,-33795.038,27437.0992,6
34,-33795.038,27437.0992,29
34,-33795.038,27437.0992,28
35,-30777.2612,26313.3866,26
35,-30777.2612,26313.3866,29
35,-30777.2612,26313.3866,78
35,-30777.2612,26313.3866,28
35,-30777.2612,26313.3866,154
36,-38349.8193,19945.6816,20
36,-38349.8193,19945.6816,37
36,-38349.8193,19945.6816,45
37,-38743.4422,20320.2525,36
37,-38743.4422,20320.2525,38
37,-38743.4422,20320.2525,47
40,-41030.2049,20582.4521,37
40,-41030.2049,20582.4521,145
45,-38369.3743,18964.4188,36
45,-38369.3743,18964.4188,46
45,-38369.3743,18964.4188,93
46,-38282.4266,18104.9128,45
46,-38282.4266,18104.9128,49
46,-38282.4266,18104.9128,47
47,-38973.9779,17894.6138,46
47,-38973.9779,17894.6138,37
47,-38973.9779,17894.6138,51
47,-38973.9779,17894.6138,45
49,-36388.1775,18405.34,46
49,-36388.1775,18405.34,50
49,-36388.1775,18405.34,93
50,-34343.5911,18645.6819,49
50,-34343.5911,18645.6819,113
51,-39034.1126,16452.5631,47
51,-39034.1126,16452.5631,52
52,-38071.9543,16392.4776,51
52,-38071.9543,16392.4776,168
52,-38071.9543,16392.4776,114
53,-34913.0753,11268.463,54
53,-34913.0753,11268.463,118
53,-34913.0753,11268.463,120
54,-33971.5194,11909.9379,53
54,-33971.5194,11909.9379,55
54,-33971.5194,11909.9379,94
54,-33971.5194,11909.9379,119
54,-33971.5194,11909.9379,120
54,-33971.5194,11909.9379,94
55,-33246.7738,12489.2576,54
55,-33246.7738,12489.2576,56
55,-33246.7738,12489.2576,60
55,-33246.7738,12489.2576,119
56,-32038.8642,12682.3643,55
56,-32038.8642,12682.3643,57
56,-32038.8642,12682.3643,58
56,-32038.8642,12682.3643,94
56,-32038.8642,12682.3643,61
57,-31158.0053,12668.2257,56
57,-31158.0053,12668.2257,58
57,-31158.0053,12668.2257,62
57,-31158.0053,12668.2257,94
57,-31158.0053,12668.2257,61
57,-31158.0053,12668.2257,111
60,-32170.5372,14399.6585,55
60,-32170.5372,14399.6585,61
60,-32170.5372,14399.6585,79
60,-32170.5372,14399.6585,105
60,-32170.5372,14399.6585,115
61,-31147.3673,13403.0129,60
61,-31147.3673,13403.0129,62
61,-31147.3673,13403.0129,57
62,-30568.5467,13161.4016,61
62,-30568.5467,13161.4016,63
62,-30568.5467,13161.4016,57
62,-30568.5467,13161.4016,111
64,-29254.4182,19181.9845,65
64,-29254.4182,19181.9845,66
64,-29254.4182,19181.9845,81
64,-29254.4182,19181.9845,102
65,-29596.2819,19504.5901,64
65,-29596.2819,19504.5901,66
65,-29596.2819,19504.5901,67
65,-29596.2819,19504.5901,81
65,-29596.2819,19504.5901,102
66,-31096.6824,19276.8686,65
66,-31096.6824,19276.8686,67
66,-31096.6824,19276.8686,64
66,-31096.6824,19276.8686,76
67,-29881.1682,20529.3374,65
67,-29881.1682,20529.3374,66
67,-29881.1682,20529.3374,68
67,-29881.1682,20529.3374,76
68,-30223.0315,21819.7597,69
68,-30223.0315,21819.7597,89
68,-30223.0315,21819.7597,67
68,-30223.0315,21819.7597,70
69,-30385.4515,22374.8835,68
69,-30385.4515,22374.8835,70
69,-30385.4515,22374.8835,77
69,-30385.4515,22374.8835,30
69,-30385.4515,22374.8835,89
70,-31381.5687,22313.1564,28
70,-31381.5687,22313.1564,69
70,-31381.5687,22313.1564,71
70,-31381.5687,22313.1564,89
70,-31381.5687,22313.1564,30
71,-33641.6662,21914.6437,31
71,-33641.6662,21914.6437,33
71,-33641.6662,21914.6437,72
71,-33641.6662,21914.6437,70
72,-33470.7345,20908.8733,71
72,-33470.7345,20908.8733,73
73,-32900.962,20889.8965,72
73,-32900.962,20889.8965,74
74,-32609.6134,20889.8965,73
74,-32609.6134,20889.8965,75
74,-32609.6134,20889.8965,76
75,-32179.2503,20851.9429,74
75,-32179.2503,20851.9429,76
75,-32179.2503,20851.9429,89
76,-32160.2578,20377.523,75
76,-32160.2578,20377.523,66
76,-32160.2578,20377.523,67
77,-28144.4499,21969.776,69
77,-28144.4499,21969.776,88
77,-28144.4499,21969.776,81
77,-28144.4499,21969.776,83
77,-28144.4499,21969.776,100
78,-27748.0442,24894.6742,84
78,-27748.0442,24894.6742,35
78,-27748.0442,24894.6742,154
78,-27748.0442,24894.6742,83
81,-28540.856,20598.7299,77
81,-28540.856,20598.7299,82
81,-28540.856,20598.7299,64
81,-28540.856,20598.7299,100
81,-28540.856,20598.7299,101
81,-28540.856,20598.7299,65
82,-26040.4497,19014.41,81
83,-27504.102,23401.7574,77
83,-27504.102,23401.7574,84
83,-27504.102,23401.7574,86
83,-27504.102,23401.7574,88
83,-27504.102,23401.7574,87
84,-27229.6672,24559.5296,78
84,-27229.6672,24559.5296,83
84,-27229.6672,24559.5296,85
84,-27229.6672,24559.5296,154
85,-25887.9858,24589.9972,84
85,-25887.9858,24589.9972,86
85,-25887.9858,24589.9972,96
85,-25887.9858,24589.9972,97
86,-25887.9858,23493.1604,83
86,-25887.9858,23493.1604,85
86,-25887.9858,23493.1604,87
87,-26467.348,22030.7114,86
87,-26467.348,22030.7114,88
87,-26467.348,22030.7114,99
87,-26467.348,22030.7114,100
88,-27595.5803,22030.7114,87
88,-27595.5803,22030.7114,83
88,-27595.5803,22030.7114,81
88,-27595.5803,22030.7114,77
88,-27595.5803,22030.7114,100
89,-31248.622,21383.2934,75
89,-31248.622,21383.2934,70
89,-31248.622,21383.2934,68
90,-41191.052,27476.4806,2
90,-41191.052,27476.4806,3
90,-41191.052,27476.4806,15
91,-38912.138,24729.0528,11
91,-38912.138,24729.0528,14
91,-38912.138,24729.0528,12
92,-34334.6578,23964.6811,30
92,-34334.6578,23964.6811,31
92,-34334.6578,23964.6811,32
93,-36476.6594,19133.8521,45
93,-36476.6594,19133.8521,49
94,-32019.4061,11802.3391,54
94,-32019.4061,11802.3391,56
94,-32019.4061,11802.3391,55
94,-32019.4061,11802.3391,57
95,-24123.8556,26286.9009,96
96,-24180.2955,25526.2705,85
96,-24180.2955,25526.2705,95
97,-24125.7641,24708.9578,96
97,-24125.7641,24708.9578,85
97,-24125.7641,24708.9578,98
98,-24234.8272,23613.1604,97
98,-24234.8272,23613.1604,86
98,-24234.8272,23613.1604,165
98,-24234.8272,23613.1604,161
98,-24234.8272,23613.1604,99
99,-24125.7641,22093.5569,98
99,-24125.7641,22093.5569,87
99,-24125.7641,22093.5569,161
100,-28116.5217,21081.7644,88
100,-28116.5217,21081.7644,101
100,-28116.5217,21081.7644,87
100,-28116.5217,21081.7644,77
100,-28116.5217,21081.7644,81
101,-26385.5886,20044.0432,100
101,-26385.5886,20044.0432,82
101,-26385.5886,20044.0432,81
101,-26385.5886,20044.0432,107
102,-28274.4217,19082.5258,64
102,-28274.4217,19082.5258,65
102,-28274.4217,19082.5258,67
102,-28274.4217,19082.5258,81
103,-30054.5759,17742.9984,64
103,-30054.5759,17742.9984,102
103,-30054.5759,17742.9984,104
103,-30054.5759,17742.9984,105
104,-29461.1911,17194.0117,103
104,-29461.1911,17194.0117,105
105,-31324.6548,15630.4193,60
105,-31324.6548,15630.4193,103
105,-31324.6548,15630.4193,104
105,-31324.6548,15630.4193,115
107,-25672.6611,18602.0798,82
107,-25672.6611,18602.0798,108
108,-24423.7069,17354.134,107
108,-24423.7069,17354.134,160
108,-24423.7069,17354.134,169
109,-26532.0548,13403.0127,108
109,-26532.0548,13403.0127,169
110,-27563.056,11891.7597,109
110,-27563.056,11891.7597,111
110,-27563.056,11891.7597,112
111,-29366.3066,12414.8667,110
111,-29366.3066,12414.8667,62
111,-29366.3066,12414.8667,112
112,-29366.3066,11310.5337,110
112,-29366.3066,11310.5337,111
112,-29366.3066,11310.5337,94
112,-29366.3066,11310.5337,57
113,-34050.4318,17018.051,50
113,-34050.4318,17018.051,114
113,-34050.4318,17018.051,103
114,-35295.3493,16544.1635,50
114,-35295.3493,16544.1635,168
114,-35295.3493,16544.1635,113
114,-35295.3493,16544.1635,52
115,-33516.8738,15359.4687,113
115,-33516.8738,15359.4687,60
115,-33516.8738,15359.4687,117
115,-33516.8738,15359.4687,105
116,-34416.2342,13402.7201,55
116,-34416.2342,13402.7201,115
116,-34416.2342,13402.7201,117
116,-34416.2342,13402.7201,119
116,-34416.2342,13402.7201,120
117,-35192.7669,14775.4895,115
117,-35192.7669,14775.4895,116
117,-35192.7669,14775.4895,168
118,-35581.0326,10754.8484,53
118,-35581.0326,10754.8484,126
119,-34139.8574,12496.8099,116
119,-34139.8574,12496.8099,54
119,-34139.8574,12496.8099,55
119,-34139.8574,12496.8099,53
119,-34139.8574,12496.8099,120
120,-35290.5507,11872.0043,118
120,-35290.5507,11872.0043,119
120,-35290.5507,11872.0043,168
120,-35290.5507,11872.0043,53
120,-35290.5507,11872.0043,54
120,-35290.5507,11872.0043,121
121,-37573.0734,11237.0894,120
121,-37573.0734,11237.0894,118
121,-37573.0734,11237.0894,122
121,-37573.0734,11237.0894,125
122,-39956.1467,11258.736,121
123,-41970.9265,11258.736,122
123,-41970.9265,11258.736,124
123,-41970.9265,11258.736,144
124,-42057.5838,9353.8449,123
124,-42057.5838,9353.8449,125
124,-42057.5838,9353.8449,127
125,-38469.4184,9419.3645,122
125,-38469.4184,9419.3645,124
125,-38469.4184,9419.3645,121
125,-38469.4184,9419.3645,126
125,-38469.4184,9419.3645,129
126,-36138.3323,8365.6927,118
127,-42133.4668,3956.8782,124
127,-42133.4668,3956.8782,128
127,-42133.4668,3956.8782,131
127,-42133.4668,3956.8782,132
128,-42077.962,-637.887,127
128,-42077.962,-637.887,132
129,-37304.567,7506.819,125
129,-37304.567,7506.819,126
129,-37304.567,7506.819,131
130,-35197.4642,7895.0937,126
131,-37368.7819,4327.8386,127
131,-37368.7819,4327.8386,128
131,-37368.7819,4327.8386,129
131,-37368.7819,4327.8386,132
132,-37387.4452,910.6351,127
132,-37387.4452,910.6351,128
132,-37387.4452,910.6351,131
132,-37387.4452,910.6351,133
132,-37387.4452,910.6351,134
133,-35272.3702,1411.162,132
133,-35272.3702,1411.162,134
133,-35272.3702,1411.162,135
134,-35369.7391,651.8389,132
134,-35369.7391,651.8389,133
134,-35369.7391,651.8389,135
135,-33457.8901,-138.6205,134
135,-33457.8901,-138.6205,136
136,-29743.8832,1852.0955,135
136,-29743.8832,1852.0955,137
136,-29743.8832,1852.0955,138
136,-29743.8832,1852.0955,139
137,-28696.6825,2561.167,136
137,-28696.6825,2561.167,138
137,-28696.6825,2561.167,139
138,-28890.4145,3831.6618,136
138,-28890.4145,3831.6618,137
138,-28890.4145,3831.6618,139
138,-28890.4145,3831.6618,140
139,-28006.6948,2406.6357,136
139,-28006.6948,2406.6357,137
139,-28006.6948,2406.6357,138
139,-28006.6948,2406.6357,140
140,-26508.5059,3091.9764,138
140,-26508.5059,3091.9764,139
140,-26508.5059,3091.9764,141
141,-24490.7951,4120.298,140
141,-24490.7951,4120.298,142
142,-23068.9186,4742.7033,141
142,-23068.9186,4742.7033,143
142,-23068.9186,4742.7033,156
143,-23082.4601,5365.1085,142
144,-42001.4871,14303.4404,123
145,-41883.9682,19920.8619,19
145,-41883.9682,19920.8619,144
145,-41883.9682,19920.8619,40
146,-35764.0295,31081.3468,9
146,-35764.0295,31081.3468,8
146,-35764.0295,31081.3468,148
146,-35764.0295,31081.3468,149
146,-35764.0295,31081.3468,150
147,-41721.9791,31102.9942,148
147,-41721.9791,31102.9942,149
148,-38285.9626,31011.3581,146
148,-38285.9626,31011.3581,147
148,-38285.9626,31011.3581,149
149,-38285.9626,34366.2135,146
149,-38285.9626,34366.2135,147
149,-38285.9626,34366.2135,148
149,-38285.9626,34366.2135,151
150,-34368.4144,31019.2757,146
150,-34368.4144,31019.2757,151
150,-34368.4144,31019.2757,152
150,-34368.4144,31019.2757,8
151,-34534.1985,34332.2351,146
151,-34534.1985,34332.2351,148
151,-34534.1985,34332.2351,149
151,-34534.1985,34332.2351,150
151,-34534.1985,34332.2351,152
151,-34534.1985,34332.2351,0
152,-31826.3886,31295.3556,150
152,-31826.3886,31295.3556,153
152,-31826.3886,31295.3556,23
153,-31799.1336,34371.9873,150
153,-31799.1336,34371.9873,152
153,-31799.1336,34371.9873,151
153,-31799.1336,34371.9873,155
154,-27202.4121,25368.8344,84
154,-27202.4121,25368.8344,78
154,-27202.4121,25368.8344,85
155,-26852.8604,34277.0191,22
155,-26852.8604,34277.0191,23
155,-26852.8604,34277.0191,95
155,-26852.8604,34277.0191,152
155,-26852.8604,34277.0191,154
155,-26852.8604,34277.0191,153
155,-26852.8604,34277.0191,167
156,-19724.1365,6392.9445,142
156,-19724.1365,6392.9445,143
156,-19724.1365,6392.9445,157
157,-17624.2022,9981.9838,156
157,-17624.2022,9981.9838,158
158,-15745.3137,14454.4789,157
158,-15745.3137,14454.4789,159
158,-15745.3137,14454.4789,162
159,-20000.4436,16773.5505,158
160,-22210.9006,18926.9741,159
160,-22210.9006,18926.9741,161
160,-22210.9006,18926.9741,108
161,-21824.0705,21632.5575,160
161,-21824.0705,21632.5575,99
162,-14750.608,17546.5743,161
162,-14750.608,17546.5743,163
163,-14253.2551,20141.7258,162
163,-14253.2551,20141.7258,164
164,-17513.6792,22681.6614,163
165,-20774.1034,24062.0611,164
165,-20774.1034,24062.0611,161
165,-20774.1034,24062.0611,166
165,-20774.1034,24062.0611,98
166,-21105.6721,26657.2125,165
166,-21105.6721,26657.2125,167
167,-21105.6721,34111.3711,166
167,-21105.6721,34111.3711,155
168,-37071.4343,14556.2936,120
168,-37071.4343,14556.2936,52
168,-37071.4343,14556.2936,116
168,-37071.4343,14556.2936,117
169,-27204.6991,15782.5553,104
169,-27204.6991,15782.5553,108
169,-27204.6991,15782.5553,109