ROOM,Associated Node
Fine Arts 581,
Fine Arts 585,
Fine Arts 595,
Environmental Resources 1,161
Library 1,30
Environmental Resources 2,161
Library 2,30
Child Development Center 100,101
Adaptive P.E. 101,169
Arts & Science 101,5
Davies Hall 101,50
Arts & Science 102,
Davies Hall 102,50
Arts & Science 103,
Davies Hall 103,49
Arts & Science 104,
Davies Hall 104,49
Arts & Science 105,5
Davies Hall 105,49
Davies Hall 106,46
Davies Hall 107,46
Davies Hall 110,52
Arts & Science 111,5
Davies Hall 111,52
Arts & Science 112,
Davies Hall 112,52
Davies Hall 113,52
Davies Hall 114,114
Davies Hall 115,114
Davies Hall 116,113
Learning Resource Center 125,113
Child Development Center 140,101
Raef Hall 160,37
Raef Hall 161,37
Learning Resource Center 162,66
Raef Hall 162,18
Davies Hall 200,50
Physical Education 200E,62
Davies Hall 201,50
Davies Hall 202,50
Davies Hall 203,50
Davies Hall 204,50
Davies Hall 205,49
Physical Education 205,169
Davies Hall 206,49
Physical Education 206,169
Davies Hall 207,49
Davies Hall 208,49
Davies Hall 209,46
Davies Hall 210,46
Davies Hall 211,46
Davies Hall 212,46
Davies Hall 213,46
Davies Hall 214,52
Davies Hall 215,52
Davies Hall 216,52
Davies Hall 217,52
Davies Hall 218,52
Davies Hall 219,52
Davies Hall 220,52
Davies Hall 221,114
Davies Hall 222,114
Davies Hall 223,114
Davies Hall 224,114
Davies Hall 225,114
Davies Hall 226,114
Davies Hall 227,114
Davies Hall 228,113
Physical Education 231A,102
Physical Education 235,102
Physical Education 236,102
Tech Ed 303,85
Tech Ed 304,89
Tech Ed 305,89
Tech Ed 306,87
Tech Ed 307,87
Tech Ed 308,97
Tech Ed 309,98
Tech Ed 310,98
Tech Ed 311,99
Tech Ed 312,99
Tech Ed 320,154
Tech Ed 320A,154
Tech Ed 320B,85
Tech Ed 321,154
Tech Ed 322,154
Tech Ed 323,154
Tech Ed 324,85
Tech Ed 325,95
Tech Ed 326,95
Tech Ed 330,95
Tech Ed 330A,95
Tech Ed 330B,95
Tech Ed 332A,96
Tech Ed 332B,96
Tech Ed 333A,96
Tech Ed 333B,96
Tech Ed 333C,97
Tech Ed 333D,97
Tech Ed 333E,97
Tech Ed 334,97
Tech Ed 335,97
Tech Ed 336,97
Tech Ed 337,166
Child Development Center 350,101
Tech Ed 390,97
Tech Ed 391,97
Comp-MathCmplx 400,22
Science 400,34
Comp-MathCmplx 401,22
Science 401,34
Comp-MathCmplx 402,22
Science 402,34
Comp-MathCmplx 403,22
Science 403,29
Science 405,34/27
Comp-MathCmplx 406,22
Science 406,27
Comp-MathCmplx 407,25
Science 407,27
Comp-MathCmplx 408,25
Science 408,27
Comp-MathCmplx 409,25
Comp-MathCmplx 410,25
Comp-MathCmplx 411,25
Science 411,24
Science 412,24
Science 414,23
Science 415,23
Science 416,24
Science 418,24
Science 420,7
Science 422,7
Science 424,34
Science 425,34
Science 426,27
Science 490,23
Science 491,23
Science 492,23
Science 493,23
Fine Arts 501,4
Fine Arts 502,4
Fine Arts 503,4
Fine Arts 504,4
Fine Arts 505,
Fine Arts 507,
Fine Arts 508,4
Fine Arts 510,4
Fine Arts 512,3
Fine Arts 513,3
Fine Arts 514,3
Fine Arts 515,3
Fine Arts 519,3
Fine Arts 526,2
Fine Arts 536A,1
Fine Arts 537A,1
Fine Arts 547,147
Fine Arts 548,147
Fine Arts 550,148
Fine Arts 554,148
Fine Arts 580,don't Have map/Data
Fine Arts 582,
Fine Arts 583,
Fine Arts 584,
Fine Arts 592,
Fine Arts 594,
Portable 600,115
Portable 601,115
Portable 602A,115
Portable 602B,115
Portable 604A,117
Portable 604B,117
Portable 605,117
Portable 606,117
Portable 609A,119
Portable 609B,119
Portable 610A,119
Portable 610B,119
Portable 611,60
Portable 612,60
Portable 613A,60
Portable 613B,60
Portable 614,60
HeEd Portable 700,99
HeEd Portable 701,99
HeEd Portable 702,99
HeEd 710,60
HeEd 713,61
HeEd 714,56
HeEd 715,56
HeEd 716,56
Learning Resource Center ESL,66
Physical Education FIELDS,159
ARC TWIN RIVERS H,Not doing these
ARC TWIN RIVERS J,
Physical Education MAIN GYM,105
Physical Education POOL,169
Physical Education PRACT GYM,105
Learning Resource Center RAD 149,66
Learning Resource Center READ 143,66
Learning Resource Center READ CNTR,66
Physical Education STADIUM,109
GYM STAGE,105
Fine Arts Theatre,4
Learning Resource Center WAC 151,66
Learning Resource Center RAD,66
Learning Resource Center WAC,66
Learning Resource Center 104,66
Learning Resource Center WRITING CT,66
Theatre THEATRE,4